iter	Passed	Remaining
0	107	430111	205	40924
2	323	42902
3	476	47294
4	599	47475
5	683	44994
6	780	43944
7	907	44603
8	1018	4434599	1097	42905110	1194	42338111	1308	42404
12	1393	41582113	1492	41264114	1603	41266115	1703	40994116	1791	40472117	1901	40467118	2036	40939119	2137	40724220	2235	40445221	2343	40375222	2451	40291223	2554	40130224	2642	39741225	2741	39536226	2835	39279227	2929	39023228	3012	38647229	3107	38424330	3213	38351331	3304	38104332	3428	38236333	3487	37643334	3558	3720835	3683	37350
36	3782	37209
37	3857	36848
38	3963	36790
39	4050	36551
40	4131	36274
41	4205	35944
42	4300	35807
43	4388	35605
44	4484	35475
45	4582	35365
46	4696	35373
47	4800	35306
48	4925	35383
49	5021	35251
50	5114	35097
51	5223	35057
52	5343	35088
53	5461	35092
54	5551	34920
55	5643	34766
56	5737	34624
57	5849	34591
58	5964	34573
59	6053	34405
60	6156	34312
661	6248	34162662	6353	34087663	6457	34003664	6571	33968665	6674	33876666	6778	33790667	6893	33760668	7014	33751669	7136	33746770	7222	33569771	7333	33511772	7401	33258773	7531	33281774	7668	33334775	7816	33427776	7929	33366777	8067	33407778	8229	33544779	8300	33304880	8435	3332581	8612	33505
82	8743	33497
883	8827	33312884	8985	33403885	9128	33435886	9302	33573
87	9422	33515
88	9598	33649
89	9722	33595
90	9851	33559
91	9947	33412
92	10065	33336
93	10177	33238
94	10266	33068
95	10382	32985
96	10466	32801
97	10569	32679998	10678	32576
99	10756	323751100	10858	322521101	10945	320841102	11050	319721103	11149	318401104	11271	317751105	11375	316581106	11464	314991107	11561	313651108	11660	312381109	11740	310581110	11846	309501111	11941	308121112	12044	306971113	12139	305621114	12248	304621115	12363	303751116	12453	302271117	12588	301901118	12699	300931119	12796	299651120	12877	297981121	12969	296591122	13083	295701123	13194	294751124	13289	293421125	13393	292311126	13500	291271127	13618	290451128	13703	28893
129	13800	28769
130	13900	28648
131	14008	28547
132	14118	28448
133	14208	28311
134	14310	28196
135	14409	28076
136	14524	27989
137	14633	27888
138	14710	27728
139	14820	27628
140	14924	27520
141	15047	27445
142	15155	27342
143	15267	27247
144	15370	27137
145	15466	27012
146	15570	26904
147	15666	26781
148	15761	26657
149	15866	26549
150	15966	26434
151	16077	26337
152	16194	26249
153	16282	26116
