id,Time_spent_Alone,Social_event_attendance,Going_outside,Friends_circle_size,Post_frequency,Stage_fear_No,Stage_fear_Yes,Drained_after_socializing_No,Drained_after_socializing_Yes,Personality
-1.7319573070258758,-1.0499128716904667,0.28210178548256665,-0.02061979708979903,1.707463462508951,0.006002332847066729,1.0,0.0,1.0,0.0,Extrovert
-1.7317703008922014,-0.7073272448594959,0.6573461826015572,-0.5258593755176212,0.4883825922250501,1.0854898441001122,1.0,0.0,1.0,0.0,Extrovert
-1.731583294758527,1.0056008892953572,-1.594120200112386,-2.0415781108010878,-1.2183306261724114,-1.7931435192413423,0.0,1.0,1.0,0.0,Introvert
-1.7313962886248526,-0.02215599119755469,0.6573461826015572,-0.5258593755176212,0.7321987662818303,0.006002332847066729,1.0,0.0,1.0,0.0,Extrovert
-1.731209282491178,-0.7073272448594959,-0.4683870087554144,-0.02061979708979903,1.2198311143953908,0.006002332847066729,1.0,0.0,1.0,0.0,Extrovert
-1.7310222763575036,-0.36474161802852534,1.0325905797205477,0.48461978133802314,0.0007502441114896788,-0.7136560079882969,1.0,0.0,1.0,0.0,Extrovert
-1.7308352702238292,-0.7073272448594959,1.0325905797205477,-0.02061979708979903,0.0007502441114896788,-0.3538268375706151,1.0,0.0,1.0,0.0,Extrovert
-1.7306482640901548,-0.36474161802852534,1.0325905797205477,-0.5258593755176212,-0.9745144521156311,0.006002332847066729,1.0,0.0,1.0,0.0,Extrovert
-1.7304612579564804,0.3204296356334159,-1.2188758029933955,-1.5363385323732655,-1.949779148342752,-1.0734851784059787,0.0,1.0,1.0,0.0,Introvert
-1.7302742518228058,-0.7073272448594959,1.0325905797205477,0.9898593597658453,1.463647288452171,1.445319014517794,1.0,0.0,1.0,0.0,Extrovert
-1.7300872456891314,-0.02215599119755469,0.6573461826015572,-0.02061979708979903,-0.7306982780588509,1.8051481849354758,1.0,0.0,1.0,0.0,Extrovert
-1.729900239555457,-0.36474161802852534,0.28210178548256665,-0.5258593755176212,-0.9745144521156311,1.0854898441001122,1.0,0.0,1.0,0.0,Extrovert
-1.7297132334217826,-0.02215599119755469,-0.09314261163642386,-0.02061979708979903,0.24456641816826988,0.36583150326474856,1.0,0.0,1.0,0.0,Extrovert
-1.729526227288108,-0.02215599119755469,-0.09314261163642386,0.48461978133802314,0.9760149403386106,0.006002332847066729,1.0,0.0,1.0,0.0,Extrovert
-1.7293392211544336,-0.02215599119755469,0.28210178548256665,-0.02061979708979903,0.24456641816826988,0.006002332847066729,1.0,0.0,1.0,0.0,Extrovert
-1.7291522150207592,-0.36474161802852534,0.6573461826015572,0.9898593597658453,-0.7306982780588509,1.0854898441001122,1.0,0.0,1.0,0.0,Extrovert
-1.7289652088870848,-1.0499128716904667,0.28210178548256665,-0.02061979708979903,0.0007502441114896788,1.8051481849354758,1.0,0.0,1.0,0.0,Extrovert
-1.7287782027534102,0.6630152624643866,-1.9693645972313765,-0.02061979708979903,-1.4621468002291915,-1.7931435192413423,1.0,0.0,0.0,1.0,Introvert
-1.7285911966197358,-0.7073272448594959,-0.4683870087554144,-0.02061979708979903,0.7321987662818303,1.445319014517794,1.0,0.0,1.0,0.0,Extrovert
-1.7284041904860614,-0.7073272448594959,-0.09314261163642386,0.48461978133802314,0.4883825922250501,-0.7136560079882969,1.0,0.0,1.0,0.0,Extrovert
-1.728217184352387,-0.7073272448594959,1.4078349768395382,-0.5258593755176212,0.4883825922250501,0.7256606736824304,1.0,0.0,1.0,0.0,Extrovert
-1.7280301782187126,1.0056008892953572,-0.8436314058744049,-1.0310989539454434,-1.7059629742859719,-0.7136560079882969,0.0,1.0,0.0,1.0,Introvert
-1.727843172085038,0.3204296356334159,-1.9693645972313765,-1.5363385323732655,-1.4621468002291915,-1.7931435192413423,1.0,0.0,0.0,1.0,Introvert
-1.7276561659513636,-0.02215599119755469,1.4078349768395382,1.4950989381936675,-0.48688210400207077,-0.7136560079882969,1.0,0.0,1.0,0.0,Extrovert
-1.7274691598176892,-0.7073272448594959,-0.09314261163642386,-0.5258593755176212,0.9760149403386106,0.006002332847066729,1.0,0.0,1.0,0.0,Extrovert
-1.7272821536840148,2.0333577697882688,-1.594120200112386,-0.5258593755176212,-0.24306592994529053,0.006002332847066729,0.0,1.0,0.0,1.0,Introvert
-1.7270951475503402,-0.02215599119755469,0.28210178548256665,0.48461978133802314,0.4883825922250501,1.445319014517794,1.0,0.0,1.0,0.0,Extrovert
-1.7269081414166658,2.0333577697882688,-1.9693645972313765,-2.0415781108010878,-1.7059629742859719,-1.4333143488236606,1.0,0.0,0.0,1.0,Introvert
